id;name;permission
1;USER;ACCESS
2;USER;DELETE
3;USER;EDIT
4;USER;EXPORT
5;USER;IMPORT
6;USER;LIST
7;USER;MASSUPDATE
8;USER;VIEW
9;AUTHORITY;ACCESS
10;AUTHORITY;DELETE
11;AUTHORITY;EDIT
12;AUTHORITY;EXPORT
13;AUTHORITY;IMPORT
14;AUTHORITY;LIST
15;AUTHORITY;MASSUPDATE
16;AUTHORITY;VIEW
17;EMPLOYEE;ACCESS
18;EMPLOYEE;DELETE
19;EMPLOYEE;EDIT
20;EMPLOYEE;EXPORT
21;EMPLOYEE;IMPORT
22;EMPLOYEE;LIST
23;EMPLOYEE;MASSUPDATE
24;EMPLOYEE;VIEW
25;RESOURCE;ACCESS
26;RESOURCE;DELETE
27;RESOURCE;EDIT
28;RESOURCE;EXPORT
29;RESOURCE;IMPORT
30;RESOURCE;LIST
31;RESOURCE;MASSUPDATE
32;RESOURCE;VIEW
33;LEAD_INFO;ACCESS
34;LEAD_INFO;DELETE
35;LEAD_INFO;EDIT
36;LEAD_INFO;EXPORT
37;LEAD_INFO;IMPORT
38;LEAD_INFO;LIST
39;LEAD_INFO;MASSUPDATE
40;LEAD_INFO;VIEW
